Chromosome	Aberration Kind	Region Start [bp]	Region End [bp]	Region Size [bp]	q-value
9	0	18259823	18387361	127539	0
9	0	19290143	19485455	195313	0
9	0	19535498	26257238	6721741	0
9	0	26433917	26725609	291693	0
9	0	26834232	27009100	174869	0
9	0	16000812	18259760	2258949	0.00875417582417582
9	0	18390485	18996642	606158	0.00875417582417582
9	0	19008550	19288987	280438	0.00875417582417582
9	0	19486018	19497270	11253	0.00875417582417582
9	0	19508885	19531262	22378	0.00875417582417582
9	0	26263018	26433572	170555	0.00875417582417582
9	0	26725702	26834139	108438	0.00875417582417582
9	0	27009692	27562914	553223	0.00875417582417582
